sampling_approach,n,percentage
Not explicitly mentioned,4,13.8
All arrests for burglaries in Tampa during the study period were included.,1,3.4
All detected residential burglaries in The Hague,1,3.4
All suspects arrested for burglary over a 13-year period,1,3.4
Based on postal code areas,1,3.4
Case-control sampling,1,3.4
Importance sampling and simple random sampling,1,3.4
Interviews and systematic observations,1,3.4
Not specified in the provided text,1,3.4
Online self-report survey,1,3.4
Online survey,1,3.4
Random partition into training and test sets,1,3.4
"Random sample of 4,410 persons arrested in 2004 or 2005",1,3.4
Random sample of alternatives from the choice set,1,3.4
Random sample of robbery cases,1,3.4
Random sampling for burglaries with multiple offenders,1,3.4
Random sampling of 6000 census blocks per robbery,1,3.4
Random sampling of alternatives,1,3.4
Random selection of migrant robbers for comparison with native robbers,1,3.4
Sampling of alternatives technique,1,3.4
Selection of solitary offenders,1,3.4
Solitary offending cases selected,1,3.4
Stratified importance sampling,1,3.4
Stratified importance sampling approach,1,3.4
Systematic Social Observation (SSO),1,3.4
Two-wave panel study,1,3.4
